snippet,bleu,code
161,0.5295020561635352,22444
162,0.5056733803995863,59360
163,0.557946017872028,2242
164,0.5915825590595113,25039
165,0.5410139251109748,45833
166,0.9776570344278396,657
167,0.6038586964196407,19634
168,1.0,18
169,0.9707054942817099,33
170,0.9841273200552851,215
171,1.0,91
172,1.0,935
173,0.9013760017239224,54968
174,1.0,1908
175,0.5478070661417576,14034
176,0.6592808835631327,20914
177,0.5641949921727103,19438
178,0.80856628033574,546
179,0.5166126923238439,31176
180,0.683019817191965,68998
181,0.7605636836754975,84
182,0.6566615169357573,42027
183,0.5837994129052833,18771
184,0.7062422583727701,40003
185,0.6831053871560929,32148
186,0.6286109649429457,18488
187,0.6330297391890078,43126
188,0.5973251344123772,21680
189,0.7341515489855628,48727
190,0.5709414989398613,8405
191,0.659027142405703,10052
192,0.6678463265727851,2757
193,0.6097284315389513,47567
194,0.766415208123901,11102
195,0.5475179502620771,35290
196,0.5609147323737137,56741
197,0.5439799875731739,9176
198,0.7081324982082975,52127
199,0.6729195931709475,34842
200,0.5207975810549599,69110
201,0.6203660273321603,41050
202,0.5815870890056634,18764
203,0.7408423076249679,36050
204,0.5996763910424879,6665
205,0.6122910302522288,68181
206,0.9243335676264918,4
207,0.9891688502655802,13164
208,0.9674098748804851,4667
209,0.7342003386378141,17730
210,0.8594050787509812,46969
211,0.5525564648457674,21807
212,0.7162707685259416,61793
213,0.7023137673562483,52917
214,0.6490441092614646,5096
215,0.5520767672149514,40988
216,0.6164170948419863,8248
217,0.767889356368012,68974
218,1.0,17730
219,0.6734216029927215,35238
220,0.6053189588066249,7195
221,0.6065888180251343,50589
222,0.6910620025052526,51925
223,0.5277631296387354,14923
224,0.6452615662646035,61383
225,0.5550983325305429,54175
226,0.848523048614182,7616
227,0.7104798353027965,14746
228,0.6188517848342981,33031
229,0.6405058269226688,43385
230,0.6070237909792665,1556
231,0.6930680683199766,26387
232,0.677384297080055,49256
233,0.6371848862738175,53337
234,1.0,0
235,0.9581251471467895,160
236,0.9637451618354665,16
237,0.6312244276197218,9259
238,1.0,36124
239,1.0,404
240,1.0,4830
241,0.6387957321699225,41295
242,0.551727955378029,34610
243,0.4934484661191684,29075
244,0.640443384348243,16691
245,1.0,89
246,0.9943707545914626,527
247,0.9029462331308835,1902
248,0.6492604070112258,16173
249,0.5713483206009544,22641
250,0.65416827884908,46058
251,0.6484185341982627,4088
252,0.6118212097737098,45260
253,0.811346197053807,22905
254,0.6106559352585291,66699
255,0.703991554539721,49590
256,0.6400607778845248,7101
257,0.5208394364163207,55583
258,1.0,116
259,1.0,118
260,0.9565311322439379,7273
261,0.6183808379949001,36429
262,0.5538905622437774,36450
263,0.89732726051352,4640
264,0.5865245047762179,68560
265,0.48454405782302357,40767
266,0.35236262873292123,723
267,1.0,881
268,0.9654940148037615,2215
269,0.5956152073246617,16868
270,0.7060489795494164,17895
271,0.5200364429826951,15249
272,0.5119633300215101,1967
273,0.6354014105486493,5871
274,0.6630242683979828,46675
275,0.6650338878118432,66327
276,0.6885416329800367,32133
277,0.8622959907211405,10880
278,0.6469963356536318,42027
279,0.6483957539646308,1267
280,0.6618395927171004,1267
281,0.5678187939417036,286
282,0.5475264336381022,14064
283,0.49370222793221646,18237
284,1.0,110
285,1.0,1531
286,0.5573959658214565,2665
287,0.6769361683946643,5029
288,0.5489387745906761,1664
289,0.6016871638793769,2166
